CÓDIGO_MUNICIPIO,TASA_MATRICULACIÓN_5_16,COBERTURA_BRUTA,SEDES_CONECTADAS_A_INTERNET
66075,82.0,99.07,38.46
66088,75.4,88.04,9.84
66170,82.0,90.14,93.15
66318,74.9,85.75,9.76
66383,67.4,76.88,10.0
66400,88.0,98.97,80.0
66440,66.1,73.85,20.51
66456,75.5,88.15,23.21
66572,110.9,152.84,19.75
66594,71.1,82.86,35.71
66682,85.1,99.56,47.89
66687,67.9,77.35,10.81
68001,103.0,113.59,99.19
68013,68.9,77.93,28.57
68020,53.4,59.68,21.74
68051,93.5,109.5,59.09
68077,94.6,106.6,53.85
68079,90.4,98.36,55.0
68081,122.3,136.92,5.56
68092,99.7,114.29,21.74
68101,79.0,97.32,16.67
68121,52.2,56.88,25.0
68132,67.6,78.23,50.0
68147,89.6,107.94,6.25
68152,86.7,97.85,19.35
68160,92.2,103.54,16.67
68162,98.4,111.93,20.83
68167,103.5,120.31,25.0
68169,83.2,91.79,35.71
68176,94.5,100.41,33.33
68179,69.8,73.45,28.57
68190,63.3,73.65,23.47
68207,86.7,106.42,27.59
68209,87.2,97.32,10.0
68211,78.6,87.64,40.0
68217,61.8,69.71,23.33
68229,88.7,102.38,33.33
68235,74.5,84.64,38.67
68245,90.1,96,23.08
68250,70.3,82.38,12.12
68255,102.0,112.13,21.28
68264,83.5,91.3,21.43
68266,103.0,117.96,30.0
68271,69.5,80.27,36.67
68276,95.1,102.79,98.36
68296,110.8,134.3,38.89
68298,68.9,77.84,23.81
68307,74.2,82.78,54.84
68318,84.5,96.73,16.67
68320,88.6,100,21.74
68322,89.9,98.59,28.57
68324,62.4,86.15,16.67
68327,107.3,121.82,80.0
68344,94.3,108.31,27.27
68368,87.2,97.72,8.33
68370,132.9,142.72,28.57
68377,67.1,75.52,17.86
68385,67.5,73.99,16.36
68397,74.1,79.24,18.18
68406,90.2,100.68,60.71
68418,97.8,109.67,44.83
68425,106.6,122.79,50.0
68432,121.4,142.37,50.0
68444,115.5,130.67,28.57
68464,88.9,99.22,26.67
68468,71.3,78.04,16.0
68498,83.4,88.47,26.32
68500,73.8,83.05,22.22
68502,57.6,64.18,21.21
68522,39.2,42.51,100.0
68524,106.5,119.21,22.22
68533,80.5,92.46,41.67
68547,98.7,108.47,7.59
68549,62.3,72.48,45.45
68572,132.4,148.44,15.38
68573,73.7,84.6,23.53
68575,101.8,114.83,52.08
68615,90.2,99.24,14.58
68655,185.8,207.19,35.29
68669,109.6,124.86,23.91
68673,54.8,60.77,20.0
68679,149.4,177.58,48.78
68682,96.0,102.7,22.22
68684,69.8,82.43,52.63
