NoACCESOSFIJOSAINTERNET,INDICE,COD_MUNICIPIO
2898,"9,81",76122
2634,"13,61",76126
17124,"18,23",76130
26504,"18,55",76147
8909,"17,94",76233
90,"0,99",76243
104,"1,48",76246
9572,"16,55",76248
565,"6,16",76250
5496,"9,41",76275
3442,"13,77",76306
4639,"13,11",76318
47927,"26,49",76364
2920,"16,90",76377
5672,"16,34",76400
1705,"13,67",76403
1331,"10,55",76497
85146,"23,72",76520
6397,"12,98",76563
991,"6,01",76606
238,"1,49",76616
6231,"16,54",76622
978,"5,41",76670
4570,"10,47",76736
1730,"11,55",76823
584,"2,96",76828
44316,"19,10",76834
168,"2,90",76845
574,"7,72",76863
456,"3,44",76869
1205,"7,34",76890
22426,"20,62",76892
6366,"14,77",76895
9919,"9,98",81001
1978,"3,16",81065
435,"9,65",81220
1375,"5,76",81300
259,"4,99",81591
6331,"9,86",81736
6432,"12,04",81794
39329,"20,58",85001
4880,"12,04",85010
85,"3,39",85015
793,"5,82",85125
96,"6,81",85136
1019,"5,65",85139
1181,"6,16",85162
75,"0,76",85225
528,"3,81",85230
2606,"6,46",85250
257,"2,03",85263
30,"1,91",85279
769,"19,25",85300
140,"6,00",85315
198,"2,23",85325
42,"0,60",85400
1956,"7,41",85410
417,"2,80",85430
3510,"8,86",85440
5041,"7,92",86001
184,"3,17",86219
2555,"6,31",86320
6738,"9,37",86568
62,"0,37",86569
101,"0,27",86571
436,"1,35",86573
499,"2,98",86749
129,"2,07",86755
435,"2,07",86757
257,"3,31",86760
4523,"12,71",86865
385,"1,44",86885
11494,"20,40",88001
15,"0,25",88564
2060,"3,81",91001
11,"0,52",91263
58,"1,83",91405
1,"0,02",91407
229,"35,02",91430
1,"0,05",91460
3,"0,38",91530
4,"0,37",91536
11,"0,10",91540
23,"0,53",91798
776,"2,10",94001
20,"0,18",94343
35,"1,78",94883
2,"0,09",94884
1,"0,31",94885
21,"2,15",94886
2,"0,09",94887
3,"0,29",94888
1209,"1,97",95001
244,"2,16",95015
119,"0,70",95025
17,"0,21",95200
79,"0,23",97001
18,"0,51",97161
2,"0,04",97511
11,"0,43",97666
4,"0,50",97777
3,"0,25",97889
1029,"4,63",99001
37,"0,34",99524
23,"0,50",99624
68,"0,08",99773
